car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
maruti swift,2015,petrol,8063,noida,hatchback,manual,2,404177,FALSE,386399
maruti alto 800,2016,petrol,23104,noida,hatchback,manual,1,354313,FALSE,265499
maruti swift,2013,diesel,39124,noida,hatchback,manual,1,374326,FALSE,307999
hyundai grand i10,2015,petrol,22116,noida,hatchback,manual,1,367216,FALSE,361499
hyundai i20,2012,petrol,38328,noida,hatchback,manual,3,410764,FALSE,321499
hyundai elite i20,2014,diesel,56402,noida,hatchback,manual,1,566123,FALSE,456199
renault kwid,2018,petrol,32703,noida,hatchback,manual,1,344127,FALSE,281299
maruti alto 800,2014,petrol,53180,noida,hatchback,manual,1,207105,FALSE,206899
hyundai i20,2012,diesel,55764,noida,hatchback,manual,2,356231,FALSE,287999
honda brio,2012,petrol,58581,noida,hatchback,manual,1,307559,FALSE,235699
honda city,2010,petrol,63808,noida,sedan,manual,1,364648,FALSE,304199
hyundai i10,2011,petrol,70126,noida,hatchback,manual,1,284836,FALSE,217599
maruti swift,2015,diesel,62806,noida,hatchback,manual,1,515526,FALSE,396499
honda brio,2015,petrol,58396,noida,hatchback,manual,2,405581,FALSE,347399
hyundai eon,2014,petrol,59559,noida,hatchback,manual,1,272348,FALSE,209799
hyundai verna,2012,diesel,68355,noida,sedan,manual,1,467580,FALSE,398799
maruti ritz,2010,petrol,82078,noida,hatchback,manual,1,257586,FALSE,207099
hyundai santro xing,2009,petrol,79244,noida,hatchback,manual,1,177150,FALSE,164899
maruti swift,2014,petrol,71876,noida,hatchback,manual,1,480698,FALSE,389699
maruti swift dzire,2011,petrol,90479,noida,sedan,manual,1,282096,FALSE,224299
ford ecosport,2013,diesel,66940,noida,suv,manual,1,472084,FALSE,397199
maruti swift dzire,2013,diesel,80394,noida,sedan,manual,1,408992,FALSE,332499
maruti swift dzire,2012,diesel,77954,noida,sedan,manual,2,369669,FALSE,306899
nissan sunny,2012,petrol,82364,noida,sedan,manual,1,332102,FALSE,287099
hyundai i20,2012,diesel,83767,noida,hatchback,manual,1,330021,FALSE,244399
toyota etios liva,2012,diesel,87914,noida,hatchback,manual,1,348764,FALSE,266299
maruti swift,2013,diesel,74429,noida,hatchback,manual,2,365244,FALSE,314499
maruti swift,2014,diesel,81137,noida,hatchback,manual,2,458804,FALSE,381299
hyundai i20,2012,diesel,85689,noida,hatchback,manual,1,377619,FALSE,302299
hyundai verna,2015,diesel,87238,noida,sedan,manual,1,680558,FALSE,542699
maruti swift dzire,2010,petrol,95236,noida,sedan,manual,2,265671,FALSE,202499
maruti celerio,2016,petrol & cng,104962,noida,hatchback,manual,1,366773,FALSE,326499
maruti baleno,2016,diesel,88453,noida,hatchback,manual,1,703554,FALSE,545799
maruti swift dzire,2013,diesel,82016,noida,sedan,manual,2,353776,FALSE,274399
maruti swift dzire,2013,diesel,96826,noida,sedan,manual,1,446284,FALSE,352799
maruti swift,2015,diesel,92527,noida,hatchback,manual,1,467250,FALSE,372899
hyundai new elantra,2013,diesel,81971,noida,luxury sedan,manual,1,662351,FALSE,604299
hyundai i20,2012,diesel,118130,noida,hatchback,manual,3,277540,FALSE,243299
maruti swift,2014,diesel,124969,noida,hatchback,manual,1,486770,FALSE,367999
maruti swift,2011,diesel,133175,noida,hatchback,manual,1,330743,FALSE,289199
maruti swift dzire,2013,diesel,110484,noida,sedan,manual,1,401404,FALSE,391499
honda amaze,2014,petrol,78097,noida,sedan,manual,2,398236,FALSE,337799
maruti ritz,2012,diesel,100995,noida,hatchback,manual,1,304629,FALSE,234399
maruti ritz,2012,diesel,123546,noida,hatchback,manual,1,248620,FALSE,215699
hyundai elite i20,2015,diesel,110531,noida,hatchback,manual,1,527700,FALSE,420299
hyundai creta,2018,diesel,78027,noida,suv,automatic,2,1295740,FALSE,1149984
maruti swift,2012,diesel,129639,noida,hatchback,manual,1,382854,FALSE,306199
maruti swift,2012,diesel,156680,noida,hatchback,manual,1,345903,FALSE,291399
honda amaze,2015,diesel,123934,noida,sedan,manual,2,400848,FALSE,315599
maruti vitara brezza,2016,diesel,111613,noida,suv,manual,1,653679,FALSE,593099
honda amaze,2014,diesel,98992,noida,sedan,manual,1,333904,FALSE,293999
hyundai elite i20,2017,diesel,148526,noida,hatchback,manual,1,639725,FALSE,514799
toyota corolla altis,2014,diesel,103033,noida,luxury sedan,manual,1,719426,FALSE,694599
maruti swift,2013,diesel,194203,noida,hatchback,manual,1,362578,FALSE,284099
toyota innova,2015,diesel,111562,noida,suv,manual,1,1002280,FALSE,844899
renault scala,2013,diesel,219642,noida,sedan,manual,1,284657,FALSE,264299
maruti wagon r 1.0,2015,petrol,11343,noida,hatchback,manual,1,451448,FALSE,334899
maruti alto 800,2019,petrol & cng,2510,noida,hatchback,manual,1,465496,FALSE,346599
maruti alto k10,2013,petrol,21784,noida,hatchback,manual,2,310189,FALSE,240199
renault kwid,2019,petrol,4279,noida,hatchback,manual,1,342500,FALSE,341199
maruti dzire,2019,petrol,11393,noida,sedan,manual,1,682666,FALSE,516599
honda city,2010,petrol,47405,noida,sedan,manual,1,449780,FALSE,360799
maruti swift,2013,petrol,43803,noida,hatchback,manual,1,435703,FALSE,352799
hyundai eon,2013,petrol,24955,noida,hatchback,manual,1,269270,FALSE,226199
maruti alto 800,2016,petrol,34451,noida,hatchback,manual,1,330354,FALSE,259999
renault kwid,2016,petrol,40154,noida,hatchback,manual,1,292706,FALSE,213999
renault kwid,2016,petrol,37916,noida,hatchback,manual,1,302963,FALSE,234099
maruti wagon r 1.0,2012,petrol,39131,noida,hatchback,manual,1,275375,FALSE,232999
renault duster,2013,diesel,28769,noida,suv,manual,1,544319,FALSE,454599
hyundai eon,2016,petrol,14776,noida,hatchback,manual,1,339745,FALSE,278199
maruti swift,2012,diesel,62476,noida,hatchback,manual,1,428945,FALSE,317399
tata tiago,2017,diesel,85779,noida,hatchback,manual,2,333899,FALSE,332399
hyundai creta,2015,petrol,20087,noida,suv,manual,2,1023449,FALSE,823499
hyundai i10,2011,petrol,59431,noida,hatchback,manual,1,262473,FALSE,223599
toyota etios liva,2013,petrol,40911,noida,hatchback,manual,2,349285,FALSE,294399
hyundai i20,2011,petrol,71538,noida,hatchback,manual,1,268499,FALSE,256699
maruti celerio,2015,petrol,53095,noida,hatchback,manual,1,361544,FALSE,354999
hyundai i20,2012,diesel,59922,noida,hatchback,manual,1,297556,FALSE,276399
honda wr-v,2018,petrol,28290,noida,suv,manual,1,917232,FALSE,709899
maruti baleno,2017,petrol,34205,noida,hatchback,manual,1,535699,FALSE,509399
maruti swift,2015,petrol,57972,noida,hatchback,manual,3,470977,FALSE,369399
maruti swift,2008,petrol,61909,noida,hatchback,manual,1,236421,FALSE,203099
mahindra xuv500,2012,diesel,49367,noida,luxury suv,manual,3,503313,FALSE,479899
mahindra xuv500,2014,diesel,64950,noida,luxury suv,manual,2,636898,FALSE,555999
maruti sx4,2010,petrol,61261,noida,sedan,manual,1,265408,FALSE,232899
maruti swift,2013,diesel,67011,noida,hatchback,manual,1,436632,FALSE,369299
hyundai elite i20,2015,petrol,53171,noida,hatchback,manual,1,560624,FALSE,480399
maruti zen estilo,2011,petrol,89510,noida,hatchback,manual,1,221714,FALSE,188399
mahindra scorpio,2015,diesel,50968,noida,suv,manual,1,1012190,FALSE,801099
toyota innova crysta,2017,diesel,42841,noida,suv,manual,1,1713713,FALSE,1415109
volkswagen polo,2013,petrol,65942,noida,hatchback,manual,1,374585,FALSE,317199
hyundai creta,2016,petrol,61582,noida,suv,manual,2,837780,FALSE,720299
mahindra scorpio,2016,diesel,61330,noida,suv,manual,2,1272552,FALSE,1030804
maruti swift,2009,petrol,96354,noida,hatchback,manual,2,262687,FALSE,239299
mitsubishi outlander,2009,petrol,95127,noida,luxury suv,manual,3,331199,FALSE,307099
hyundai verna,2014,diesel,81676,noida,sedan,manual,1,643090,FALSE,520499
hyundai verna,2014,diesel,84334,noida,sedan,manual,1,608343,FALSE,510699
volkswagen ameo,2017,diesel,73768,noida,sedan,manual,1,509599,FALSE,486299
honda brio,2013,petrol,90659,noida,hatchback,manual,2,281810,FALSE,251399
maruti swift dzire,2012,petrol,90220,noida,sedan,manual,1,367653,FALSE,290899
ford ecosport,2013,diesel,99113,noida,suv,manual,1,517356,FALSE,413099
mahindra xuv500,2014,diesel,60070,noida,luxury suv,manual,1,824782,FALSE,699399
nissan terrano,2014,diesel,110471,noida,suv,manual,1,538030,FALSE,469099
honda amaze,2014,petrol,86304,noida,sedan,manual,1,391854,FALSE,364599
maruti ritz,2010,petrol,108338,noida,hatchback,manual,1,295036,FALSE,230799
hyundai i20,2012,diesel,122256,noida,hatchback,manual,1,355277,FALSE,299399
toyota etios,2015,petrol,168109,noida,sedan,manual,1,410291,FALSE,330899
maruti ertiga,2012,diesel,186207,noida,suv,manual,1,493793,FALSE,440199
volkswagen vento,2013,diesel,192715,noida,sedan,manual,1,443076,FALSE,377799
toyota corolla altis,2014,petrol,134937,noida,luxury sedan,manual,1,910742,FALSE,751399
audi q3,2013,diesel,114155,noida,luxury suv,automatic,2,1194051,FALSE,1072517
audi a6,2013,diesel,107465,noida,luxury sedan,automatic,2,1532278,FALSE,1202706
toyota fortuner,2013,diesel,154297,noida,luxury suv,automatic,1,1510690,FALSE,1213917
maruti swift,2015,petrol,27191,noida,hatchback,manual,1,467108,FALSE,365799
maruti alto 800,2017,petrol,15581,noida,hatchback,manual,1,270886,FALSE,257699
maruti swift dzire,2011,petrol,15248,noida,sedan,manual,1,313774,FALSE,254299
mahindra scorpio,2013,diesel,34861,noida,suv,manual,1,515799,FALSE,506799
maruti swift,2019,petrol,9218,noida,hatchback,manual,1,585975,FALSE,568299
hyundai grand i10,2019,petrol,7794,noida,hatchback,manual,1,521330,FALSE,513399
maruti swift,2013,diesel,45994,noida,hatchback,manual,1,413218,FALSE,356099
hyundai i10,2010,petrol,55388,noida,hatchback,manual,2,240138,FALSE,190499
maruti ritz,2011,petrol,41762,noida,hatchback,manual,1,258745,FALSE,239399
mahindra tuv300,2016,diesel,37219,noida,suv,automatic,1,663747,FALSE,551499
honda city,2014,petrol,48845,noida,sedan,manual,1,695780,FALSE,530499
honda amaze,2017,petrol,37426,noida,sedan,manual,1,570501,FALSE,450999
renault kwid,2018,petrol,31537,noida,hatchback,manual,1,285382,FALSE,283999
hyundai i10,2010,petrol,68453,noida,hatchback,manual,1,203120,FALSE,174499
hyundai xcent,2014,diesel,68235,noida,sedan,manual,2,295362,FALSE,275699
maruti swift dzire,2013,diesel,67411,noida,sedan,manual,1,344698,FALSE,271499
maruti ritz,2009,petrol,48907,noida,hatchback,manual,1,203068,FALSE,189299
hyundai i20,2009,petrol,86251,noida,hatchback,manual,2,241839,FALSE,175299
maruti alto,2019,petrol & cng,50244,noida,hatchback,manual,2,381015,FALSE,313399
maruti alto k10,2014,petrol & cng,70930,noida,hatchback,manual,1,282252,FALSE,274799
maruti wagon r 1.0,2012,petrol & cng,83630,noida,hatchback,manual,1,219657,FALSE,218899
hyundai verna,2018,diesel,38712,noida,sedan,automatic,1,1190183,FALSE,949499
maruti vitara brezza,2017,diesel,39663,noida,suv,manual,1,869580,FALSE,732399
